observation_year,location,pest_value,maxt,mint,rh1(%),rh2(%),rf(mm),ws(kmph),ssh(hrs),evp(mm),rice_area_(1000_ha),rice_production_(1000_tons),rice_yield_(kg_per_ha)
2001,Ludhiana,33.57692307692308,30.073076923076922,17.346153846153847,85.30384615384615,49.44423076923077,18.671153846153846,3.840384615384615,7.93076923076923,4.5019230769230765,247.15,964.6,3902.89
2001,Ludhiana,1.5384615384615385,30.073076923076922,17.346153846153847,85.30384615384615,49.44423076923077,18.671153846153846,3.840384615384615,7.93076923076923,4.5019230769230765,247.15,964.6,3902.89
2001,Ludhiana,2.5961538461538463,30.073076923076922,17.346153846153847,85.30384615384615,49.44423076923077,18.671153846153846,3.840384615384615,7.93076923076923,4.5019230769230765,247.15,964.6,3902.89
2001,Ludhiana,80.65384615384616,30.073076923076922,17.346153846153847,85.30384615384615,49.44423076923077,18.671153846153846,3.840384615384615,7.93076923076923,4.5019230769230765,247.15,964.6,3902.89
2001,Ludhiana,3.8076923076923075,30.073076923076922,17.346153846153847,85.30384615384615,49.44423076923077,18.671153846153846,3.840384615384615,7.93076923076923,4.5019230769230765,247.15,964.6,3902.89
2001,Cuttack,3.464423076923077,31.805769230769233,22.459615384615386,91.99615384615385,58.72692307692308,15.332692307692307,5.0307692307692315,7.1,4.1923076923076925,478.8,764.1,1595.86
2001,Raipur,8.442307692307692,32.84615384615385,20.1,78.83653846153847,43.91346153846154,19.676923076923078,5.4326923076923075,6.755769230769231,5.488461538461538,902.62,1120.82,1241.74
2001,Raipur,353.9423076923077,32.84615384615385,20.1,78.83653846153847,43.91346153846154,19.676923076923078,5.4326923076923075,6.755769230769231,5.488461538461538,902.62,1120.82,1241.74
2002,Cuttack,0.10769230769230768,31.726923076923075,22.411538461538463,92.62884615384615,60.5326923076923,35.021153846153844,5.078846153846154,6.4788461538461535,3.976923076923077,498.63,493.58,989.87
2002,Raipur,43.21153846153846,33.5,20.200000000000003,77.9076923076923,41.13269230769231,14.63846153846154,5.765384615384615,7.163461538461538,6.232692307692308,897.85,659.62,734.67
2002,Raipur,27.423076923076923,33.5,20.200000000000003,77.9076923076923,41.13269230769231,14.63846153846154,5.765384615384615,7.163461538461538,6.232692307692308,897.85,659.62,734.67
2003,Cuttack,1.1153846153846154,31.665384615384614,22.986538461538462,92.41538461538462,61.78846153846154,29.157692307692308,4.925000000000001,6.698076923076924,3.8134615384615387,507.63,627.04,1235.23
2003,Raipur,16.346153846153847,32.76730769230769,20.36730769230769,78.65192307692308,46.41923076923077,28.357692307692307,5.4057692307692315,6.688461538461539,5.611538461538462,912.53,1316.34,1442.52
2003,Raipur,7.903846153846154,32.76730769230769,20.36730769230769,78.65192307692308,46.41923076923077,28.357692307692307,5.4057692307692315,6.688461538461539,5.611538461538462,912.53,1316.34,1442.52
2007,Ludhiana,1359.7115384615386,30.03846153846154,17.465384615384615,85.29807692307692,49.07884615384615,11.898076923076925,4.480769230769231,7.355769230769231,4.473076923076923,262.6,1190.45,4533.32
2007,Ludhiana,4.076923076923077,30.03846153846154,17.465384615384615,85.29807692307692,49.07884615384615,11.898076923076925,4.480769230769231,7.355769230769231,4.473076923076923,262.6,1190.45,4533.32
2007,Ludhiana,6753.75,30.03846153846154,17.465384615384615,85.29807692307692,49.07884615384615,11.898076923076925,4.480769230769231,7.355769230769231,4.473076923076923,262.6,1190.45,4533.32
2007,Ludhiana,46.13461538461539,30.03846153846154,17.465384615384615,85.29807692307692,49.07884615384615,11.898076923076925,4.480769230769231,7.355769230769231,4.473076923076923,262.6,1190.45,4533.32
2007,Ludhiana,3394.0384615384614,30.03846153846154,17.465384615384615,85.29807692307692,49.07884615384615,11.898076923076925,4.480769230769231,7.355769230769231,4.473076923076923,262.6,1190.45,4533.32
2007,Ludhiana,157.5,30.03846153846154,17.465384615384615,85.29807692307692,49.07884615384615,11.898076923076925,4.480769230769231,7.355769230769231,4.473076923076923,262.6,1190.45,4533.32
2007,Raipur,21.557692307692307,32.68653846153846,20.246153846153845,80.36153846153846,43.42884615384616,22.51153846153846,5.296153846153846,6.698076923076924,5.338461538461539,956.63,1483.28,1550.53
2007,Raipur,60.15384615384615,32.68653846153846,20.246153846153845,80.36153846153846,43.42884615384616,22.415384615384614,5.296153846153846,6.698076923076924,5.338461538461539,956.63,1483.28,1550.53
2007,Raipur,16.53846153846154,32.68653846153846,20.246153846153845,80.36153846153846,43.42884615384616,22.70384615384615,5.296153846153846,6.698076923076924,5.338461538461539,956.63,1483.28,1550.53
2007,Raipur,57.80769230769231,32.68653846153846,20.246153846153845,80.36153846153846,43.42884615384616,23.088461538461537,5.296153846153846,6.698076923076924,5.338461538461539,956.63,1483.28,1550.53
2007,Raipur,2.3076923076923075,32.68653846153846,20.246153846153845,80.36153846153846,43.42884615384616,23.088461538461537,5.296153846153846,6.698076923076924,5.338461538461539,956.63,1483.28,1550.53
2007,Raipur,23.423076923076923,32.68653846153846,20.246153846153845,80.36153846153846,43.42884615384616,22.70384615384615,5.296153846153846,6.698076923076924,5.338461538461539,956.63,1483.28,1550.53
2007,Cuttack,4671.7692307692305,32.025,22.642307692307693,90.0326923076923,56.3,20.153846153846153,5.676923076923076,6.7711538461538465,4.390384615384615,515.08,819.25,1590.53
2007,Cuttack,39.36538461538461,32.025,22.642307692307693,90.0326923076923,56.3,20.153846153846153,5.676923076923076,6.7711538461538465,4.390384615384615,515.08,819.25,1590.53
2007,Cuttack,600.5192307692307,32.025,22.642307692307693,90.0326923076923,56.3,20.153846153846153,5.676923076923076,6.7711538461538465,4.390384615384615,515.08,819.25,1590.53
2008,Ludhiana,6.596153846153846,29.415384615384614,17.198076923076922,63.41730769230769,42.36923076923077,20.082692307692305,8.15576923076923,7.203846153846154,4.0576923076923075,266.75,1189.45,4459.04
2008,Ludhiana,1.7692307692307692,29.415384615384614,17.198076923076922,63.41730769230769,42.36923076923077,20.082692307692305,8.15576923076923,7.203846153846154,4.0576923076923075,266.75,1189.45,4459.04
2008,Ludhiana,5.961538461538462,29.415384615384614,17.198076923076922,63.41730769230769,42.36923076923077,20.082692307692305,8.15576923076923,7.203846153846154,4.0576923076923075,266.75,1189.45,4459.04
2008,Ludhiana,9.961538461538462,29.415384615384614,17.198076923076922,63.41730769230769,42.36923076923077,20.082692307692305,8.15576923076923,7.203846153846154,4.0576923076923075,266.75,1189.45,4459.04
2008,Ludhiana,5.173076923076923,29.415384615384614,17.198076923076922,63.41730769230769,42.36923076923077,20.082692307692305,8.15576923076923,7.203846153846154,4.0576923076923075,266.75,1189.45,4459.04
2008,Raipur,14.442307692307692,33.07115384615385,20.307692307692307,79.66153846153846,42.017307692307696,19.365384615384617,5.3173076923076925,6.586538461538462,5.528846153846154,942.24,1252.38,1329.15
2008,Raipur,315.25,32.71923076923077,20.173076923076923,79.29615384615384,43.33461538461539,16.157692307692308,5.221153846153846,6.134615384615385,5.425000000000001,942.24,1252.38,1329.15
2008,Raipur,3.269230769230769,32.71923076923077,20.173076923076923,79.29615384615384,43.33461538461539,16.157692307692308,5.221153846153846,6.134615384615385,5.425000000000001,942.24,1252.38,1329.15
2008,Raipur,248.8846153846154,32.71923076923077,20.173076923076923,79.29615384615384,43.33461538461539,16.157692307692308,5.221153846153846,6.134615384615385,5.425000000000001,942.24,1252.38,1329.15
2008,Raipur,5.230769230769231,32.71923076923077,20.173076923076923,79.29615384615384,43.33461538461539,16.157692307692308,5.221153846153846,6.134615384615385,5.425000000000001,942.24,1252.38,1329.15
2009,Ludhiana,2.9038461538461537,30.428846153846152,17.26153846153846,83.24038461538461,47.25384615384615,17.484615384615385,4.188461538461539,7.7942307692307695,4.736538461538462,269.9,1264.65,4685.62
2009,Ludhiana,0.6923076923076923,30.428846153846152,17.26153846153846,83.24038461538461,47.25384615384615,17.484615384615385,4.188461538461539,7.7942307692307695,4.736538461538462,269.9,1264.65,4685.62
2009,Ludhiana,0.9230769230769231,30.428846153846152,17.26153846153846,83.24038461538461,47.25384615384615,17.484615384615385,4.188461538461539,7.7942307692307695,4.736538461538462,269.9,1264.65,4685.62
2009,Ludhiana,0.7307692307692307,30.428846153846152,17.26153846153846,83.24038461538461,47.25384615384615,17.484615384615385,4.188461538461539,7.7942307692307695,4.736538461538462,269.9,1264.65,4685.62
2009,Raipur,3.4615384615384617,33.94615384615385,21.15,75.63269230769231,40.36538461538461,22.66923076923077,5.111538461538462,6.68076923076923,5.892307692307692,928.66,1307.24,1407.66
2009,Raipur,17.0,33.94615384615385,21.15,75.63269230769231,40.36538461538461,23.515384615384615,5.111538461538462,6.68076923076923,5.892307692307692,928.66,1307.24,1407.66
2009,Raipur,1.7884615384615385,33.94615384615385,21.15,75.63269230769231,40.36538461538461,22.63076923076923,5.111538461538462,6.68076923076923,5.892307692307692,928.66,1307.24,1407.66
2009,Raipur,21.76923076923077,33.94615384615385,21.15,75.63269230769231,40.36538461538461,22.93846153846154,5.111538461538462,6.68076923076923,5.892307692307692,928.66,1307.24,1407.66
2009,Raipur,3.4615384615384617,33.94615384615385,21.15,75.63269230769231,40.36538461538461,23.13076923076923,5.111538461538462,6.68076923076923,5.892307692307692,928.66,1307.24,1407.66
2010,Ludhiana,42.36538461538461,30.34807692307692,17.882692307692306,84.72307692307693,52.63269230769231,13.98076923076923,4.051923076923076,6.613461538461538,4.484615384615385,269.3,1185.35,4401.6
2010,Ludhiana,0.5961538461538461,30.34807692307692,17.882692307692306,84.72307692307693,52.63269230769231,13.98076923076923,4.051923076923076,6.613461538461538,4.484615384615385,269.3,1185.35,4401.6
2010,Ludhiana,6.884615384615385,30.34807692307692,17.882692307692306,84.72307692307693,52.63269230769231,13.98076923076923,4.051923076923076,6.613461538461538,4.484615384615385,269.3,1185.35,4401.6
2010,Ludhiana,11.615384615384615,30.34807692307692,17.882692307692306,84.72307692307693,52.63269230769231,13.98076923076923,4.051923076923076,6.613461538461538,4.484615384615385,269.3,1185.35,4401.6
2010,Ludhiana,0.9615384615384616,30.34807692307692,17.882692307692306,84.72307692307693,52.63269230769231,13.98076923076923,4.051923076923076,6.613461538461538,4.484615384615385,269.3,1185.35,4401.6
2010,Cuttack,19.346153846153847,31.857692307692307,22.89423076923077,90.25,58.901923076923076,36.66346153846154,4.280769230769231,6.2711538461538465,4.140384615384615,484.39,733.51,1514.3
2011,Ludhiana,534.8076923076923,29.805769230769233,17.592307692307692,87.49423076923077,53.3,24.957692307692305,0.0,6.788461538461538,0.0,269.9,1148.6,4255.65
2011,Ludhiana,1.5,29.805769230769233,17.592307692307692,87.49423076923077,53.3,24.957692307692305,0.0,6.788461538461538,0.0,269.9,1148.6,4255.65
2011,Ludhiana,0.5384615384615384,29.805769230769233,17.592307692307692,87.49423076923077,53.3,24.957692307692305,0.0,6.788461538461538,0.0,269.9,1148.6,4255.65
2011,Ludhiana,3.8076923076923075,29.805769230769233,17.592307692307692,87.49423076923077,53.3,24.957692307692305,0.0,6.788461538461538,0.0,269.9,1148.6,4255.65
2011,Ludhiana,10.826923076923077,29.805769230769233,17.592307692307692,87.49423076923077,53.3,24.957692307692305,0.0,6.788461538461538,0.0,269.9,1148.6,4255.65
2011,Ludhiana,1.1923076923076923,29.805769230769233,17.592307692307692,87.49423076923077,53.3,24.957692307692305,0.0,6.788461538461538,0.0,269.9,1148.6,4255.65
